Company,Company,Ticker,Market_Cap,Firm_Efficiency,Recruitment_Rate_Disclosure_Binary,Reported_EE0-1_Binary,Reported_Mean_Gender_Gap_Binary
Bio-Rad Laboratories  Inc.,Bio-Rad Laboratories  Inc.,BIO,16593,0.001,0,0,0
Biogen Inc,Biogen Inc,BIIB,36351,0.3055,0,0,0
Brown-Forman Corporation,Brown-Forman Corporation,BF.B,35522,0.0012,0,0,0
Becton Dickinson and Co,Becton Dickinson and Co,BDX,71089,0.3984,1,0,1
Best Buy Co Inc,Best Buy Co Inc,BBY,26869,0.8724,0,0,0
Baxter International Inc,Baxter International Inc,BAX,40517,0.3235,0,0,1
Boeing Co,Boeing Co,BA,139938,0.7674,0,0,0
AutoZone  Inc.,AutoZone  Inc.,AZO,26232,1.0,0,0,0
American Express Company,American Express Company,AXP,96277,1.0,0,0,0
Avery Dennison Corp,Avery Dennison Corp,AVY,12581,0.2533,0,0,0
Activision Blizzard  Inc.,Activision Blizzard  Inc.,ATVI,65242,0.2916,0,0,0
Mondelez International Inc,Mondelez International Inc,MDLZ,81267,0.5564,0,0,1
Moody's Corporation,Moody's Corporation,MCO,51267,0.0831,0,0,1
McKesson Corporation,McKesson Corporation,MCK,28851,1.0,0,0,0
Microchip Technology Inc.,Microchip Technology Inc.,MCHP,36979,0.0696,0,0,0
Mcdonald's Corp,Mcdonald's Corp,MCD,155254,0.7054,0,0,1
Masco Corp,Masco Corp,MAS,14018,0.3367,0,0,0
Marriott International Inc,Marriott International Inc,MAR,39534,0.5229,0,0,1
Mid-America Apartment Communities Inc,Mid-America Apartment Communities Inc,MAA,13920,0.0078,0,0,0
Mastercard Inc,Mastercard Inc,MA,327753,1.0,0,1,1
Western Digital Corp,Western Digital Corp,WDC,15800,0.4333,0,0,0
Walgreens Boots Alliance Inc,Walgreens Boots Alliance Inc,WBA,36206,0.8283,0,0,1
Waters Corporation,Waters Corporation,WAT,14834,0.0015,0,0,1
Westinghouse Air Brake Technologies Corp,Westinghouse Air Brake Technologies Corp,WAB,14140,0.2712,0,0,0
Verizon Communications Inc.,Verizon Communications Inc.,VZ,251414,1.0,0,1,1
Ventas  Inc.,Ventas  Inc.,VTR,16843,0.009000000000000001,0,0,0
Verisign  Inc.,Verisign  Inc.,VRSN,23810,0.001,0,0,0
Verisk Analytics  Inc.,Verisk Analytics  Inc.,VRSK,31390,0.0024,0,0,0
Vulcan Materials Company,Vulcan Materials Company,VMC,17760,0.0274,0,0,0
VF Corp,VF Corp,VFC,32181,0.3447,0,0,1
Varian Medical Systems  Inc.,Varian Medical Systems  Inc.,VAR,15866,0.0024,0,0,0
Stryker Corporation,Stryker Corporation,SYK,89085,0.3505,0,0,1
Parker-Hannifin Corp,Parker-Hannifin Corp,PH,35676,0.3773,0,0,0
Jacobs Engineering Group Inc,Jacobs Engineering Group Inc,J,14330,0.9618,0,0,1
Welltower Inc,Welltower Inc,WELL,28073,0.0113,0,0,0
Dollar General Corp.,Dollar General Corp.,DG,51374,0.6665,0,0,0
Church & Dwight Co.  Inc.,Church & Dwight Co.  Inc.,CHD,21357,0.0507,0,0,0
Synopsys  Inc.,Synopsys  Inc.,SNPS,36770,0.002,0,0,0
Schlumberger NV,Schlumberger NV,SLB,33049,0.4729,0,0,1
J M Smucker Co,J M Smucker Co,SJM,13195,0.2002,0,0,0
Sherwin-Williams Co,Sherwin-Williams Co,SHW,64986,0.4648,0,0,1
Charles Schwab Corp,Charles Schwab Corp,SCHW,91285,1.0,0,0,0
Starbucks Corporation,Starbucks Corporation,SBUX,121989,0.7359,0,1,1
SBA Communications Corporation,SBA Communications Corporation,SBAC,31154,0.0037,0,0,0
Republic Services  Inc.,Republic Services  Inc.,RSG,30044,0.3359,0,0,0
LyondellBasell Industries NV,LyondellBasell Industries NV,LYB,28226,0.6773,0,0,0
Las Vegas Sands Corp.,Las Vegas Sands Corp.,LVS,37278,0.2998,0,0,0
Southwest Airlines Co,Southwest Airlines Co,LUV,26308,0.7616,1,0,0
Lam Research Corporation,Lam Research Corporation,LRCX,71195,0.578,0,0,0
Lowe`s Companies Inc,Lowe`s Companies Inc,LOW,120542,1.0,0,0,0
